Designator,Mid X,Mid Y,Layer,Rotation
BT1,94.5mm,28.0mm,Bottom,90.0
C1,6.625mm,21.46mm,Bottom,270.0
C2,8.625mm,21.46mm,Bottom,270.0
C3,10.625mm,21.46mm,Bottom,270.0
C4,12.625mm,21.46mm,Bottom,270.0
C5,14.625mm,21.46mm,Bottom,270.0
C6,6.625mm,17.46mm,Bottom,90.0
C7,8.625mm,17.46mm,Bottom,90.0
C8,10.625mm,17.46mm,Bottom,90.0
C9,12.625mm,17.46mm,Bottom,90.0
C10,14.625mm,17.46mm,Bottom,90.0
C14,13.1mm,12.0mm,Bottom,270.0
C15,15.1mm,12.0mm,Bottom,270.0
C16,17.1mm,12.0mm,Bottom,270.0
C17,19.1mm,12.0mm,Bottom,270.0
C18,21.1mm,12.0mm,Bottom,270.0
C19,13.1mm,8.0mm,Bottom,90.0
C20,15.1mm,8.0mm,Bottom,90.0
C21,17.1mm,8.0mm,Bottom,90.0
C22,19.1mm,8.0mm,Bottom,90.0
C23,21.1mm,8.0mm,Bottom,90.0
C27,64.3mm,67.6mm,Bottom,270.0
C28,56.3mm,85.1mm,Bottom,0.0
C29,58.0mm,79.582023mm,Bottom,0.0
C30,59.690001mm,85.1mm,Bottom,180.0
C31,62.1mm,76.0mm,Bottom,90.0
C32,63.9mm,76.0mm,Bottom,90.0
C33,99.5mm,36.5mm,Bottom,270.0
D1,90.5mm,18.5mm,Bottom,0.0
D2,21.5mm,73.0mm,Bottom,90.0
D4,21.5mm,80.5mm,Bottom,90.0
D8,58.0mm,82.082023mm,Bottom,90.0
F5,32.55mm,57.9mm,Bottom,270.0
F6,32.55mm,64.9mm,Bottom,270.0
F7,32.65mm,50.9mm,Bottom,270.0
F8,32.6mm,43.95mm,Bottom,270.0
F9,32.6mm,36.95mm,Bottom,270.0
F10,85.65mm,34.95mm,Bottom,270.0
L1,59.0mm,87.5mm,Bottom,270.0
L2,57.0mm,87.5mm,Bottom,270.0
R2,18.5mm,23.5mm,Bottom,90.0
R3,18.5mm,20.5mm,Bottom,90.0
R5,59.4mm,64.3mm,Bottom,270.0
R6,80.1mm,73.3mm,Bottom,270.0
R7,51.5mm,6.878318mm,Bottom,90.0
R8,54.0mm,6.878318mm,Bottom,90.0
R12,32.8mm,79.2mm,Bottom,90.0
R13,32.8mm,75.8mm,Bottom,90.0
R15,5.0mm,92.35mm,Bottom,90.0
R16,7.55mm,92.35mm,Bottom,90.0
R17,31.0125mm,64.9mm,Bottom,90.0
R18,31.0125mm,57.9mm,Bottom,90.0
R19,31.0125mm,50.9mm,Bottom,90.0
R20,26.4mm,64.9mm,Bottom,180.0
R21,26.4mm,57.9mm,Bottom,180.0
R22,26.4mm,50.9mm,Bottom,180.0
R23,31.0125mm,43.9mm,Bottom,90.0
R24,31.0125mm,36.9mm,Bottom,90.0
R25,31.0125mm,29.9mm,Bottom,90.0
R26,26.4mm,43.9mm,Bottom,180.0
R27,26.4mm,36.9mm,Bottom,180.0
R28,26.4mm,29.9mm,Bottom,180.0
R29,6.75mm,44.3mm,Bottom,90.0
R30,38.7mm,28.65mm,Bottom,90.0
R31,5.05mm,44.3mm,Bottom,90.0
R32,36.35mm,30.9mm,Bottom,270.0
R33,34.5mm,30.5mm,Bottom,270.0
R34,8.4mm,44.3mm,Bottom,90.0
U4,58.0mm,74.3mm,Bottom,180.0
U6,6.935mm,86.775mm,Bottom,180.0
U8,27.825mm,78.095mm,Bottom,90.0
U9,5.65mm,70.7mm,Bottom,180.0
U10,5.65mm,61.95mm,Bottom,180.0
U11,5.65mm,53.4mm,Bottom,180.0
C11,4.1mm,19.8mm,Top,270.0
C12,4.1mm,16.7mm,Top,90.0
C13,19.225mm,17.46mm,Top,270.0
C24,10.1mm,11.5mm,Top,270.0
C25,10.1mm,8.0mm,Top,90.0
C26,26.1mm,8.0mm,Top,270.0
D3,21.5mm,79.0mm,Top,90.0
D5,21.5mm,71.5mm,Top,90.0
F1,25.3mm,19.5mm,Top,270.0
F2,23.5mm,25.1mm,Top,0.0
F3,23.1mm,19.5mm,Top,270.0
F4,20.9mm,19.5mm,Top,270.0
G1,91.5mm,6.0mm,Top,0.0
G2,74.5mm,8.0mm,Top,0.0
G3,42.0mm,52.46mm,Top,90.0
G4,49.62mm,52.46mm,Top,90.0
J1,91.39mm,91.725mm,Top,0.0
J2,13.1mm,93.225mm,Top,0.0
J3,93.225mm,81.7mm,Top,270.0
J4,11.775mm,28.3mm,Top,90.0
J5,11.775mm,47.7mm,Top,90.0
J6,100.65mm,40.4mm,Top,270.0
J7,85.5mm,5.5mm,Top,90.0
J8,60.875mm,7.2mm,Top,90.0
J9,52.5mm,6.5mm,Top,0.0
J10,62.8mm,93.225mm,Top,0.0
J11,82.99mm,91.725mm,Top,0.0
J12,74.59mm,91.725mm,Top,0.0
J13,66.19mm,91.725mm,Top,0.0
J14,16.49mm,91.725mm,Top,0.0
J15,24.89mm,91.725mm,Top,0.0
J16,33.29mm,91.725mm,Top,0.0
J17,41.69mm,91.725mm,Top,0.0
J18,15.815mm,80.45mm,Top,0.0
J19,15.815mm,72.05mm,Top,0.0
J20,15.815mm,63.65mm,Top,0.0
J21,15.815mm,55.25mm,Top,0.0
J22,15.815mm,40.05mm,Top,0.0
J24,91.765mm,80.85mm,Top,0.0
P1,34.5mm,60.0mm,Top,0.0
P2,37.4mm,60.0mm,Top,0.0
P3,65.0mm,5.0mm,Top,0.0
P4,65.0mm,10.0mm,Top,0.0
P5,44.1mm,48.5mm,Top,0.0
P6,41.56mm,48.5mm,Top,0.0
P7,85.7mm,26.5mm,Top,0.0
P8,85.7mm,21.8mm,Top,0.0
P15,8.04mm,14.0mm,Top,0.0
P16,10.58mm,14.0mm,Top,0.0
P17,5.5mm,14.0mm,Top,0.0
P18,25.5mm,13.5mm,Top,0.0
Q7,25.16mm,65.0mm,Top,0.0
Q8,25.16mm,58.0mm,Top,0.0
Q9,25.16mm,51.0mm,Top,0.0
Q10,25.16mm,44.0mm,Top,0.0
Q11,25.16mm,37.0mm,Top,0.0
Q12,25.16mm,30.0mm,Top,0.0
R1,37.432497mm,82.425mm,Top,180.0
R4,45.974609mm,7.069609mm,Top,270.0
R9,19.225mm,20.46mm,Top,270.0
R10,31.1mm,74.95mm,Top,180.0
R11,32.7mm,80.85mm,Top,270.0
R14,26.1mm,10.9mm,Top,270.0
R35,97.25mm,93.0mm,Top,0.0
R36,97.25mm,90.5mm,Top,0.0
R37,97.25mm,88.0mm,Top,0.0
R38,100.7mm,93.0mm,Top,0.0
R39,100.7mm,90.5mm,Top,0.0
R40,100.7mm,88.0mm,Top,0.0
U1,11.5mm,20.0mm,Top,0.0
U2,18.125mm,10.54mm,Top,0.0
U3,78.51325mm,66.5mm,Top,270.0
U5,95.15mm,23.625mm,Top,180.0
U7,27.825mm,79.365mm,Top,90.0
D415,41.824999mm,22.424999mm,Bottom,270.0
R428,42.809399mm,8.979499mm,Bottom,90.0
R427,29.674999mm,7.624999mm,Bottom,0.0
R426,41.200798999999996mm,7.984899mm,Top,270.0
R425,39.892699mm,15.099999mm,Top,90.0
