Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
BT1,94.5mm,28.000000mm,Bottom,90.0,94.5mm,28.000000mm
C1,6.625mm,21.460000mm,Bottom,-90.0,6.625mm,21.460000mm
C2,8.625mm,21.460000mm,Bottom,-90.0,8.625mm,21.460000mm
C3,10.625mm,21.460000mm,Bottom,-90.0,10.625mm,21.460000mm
C4,12.625mm,21.460000mm,Bottom,-90.0,12.625mm,21.460000mm
C5,14.625mm,21.460000mm,Bottom,-90.0,14.625mm,21.460000mm
C6,6.625mm,17.460000mm,Bottom,90.0,6.625mm,17.460000mm
C7,8.625mm,17.460000mm,Bottom,90.0,8.625mm,17.460000mm
C8,10.625mm,17.460000mm,Bottom,90.0,10.625mm,17.460000mm
C9,12.625mm,17.460000mm,Bottom,90.0,12.625mm,17.460000mm
C10,14.625mm,17.460000mm,Bottom,90.0,14.625mm,17.460000mm
C14,13.1mm,12.000000mm,Bottom,-90.0,13.1mm,12.000000mm
C15,15.1mm,12.000000mm,Bottom,-90.0,15.1mm,12.000000mm
C16,17.1mm,12.000000mm,Bottom,-90.0,17.1mm,12.000000mm
C17,19.1mm,12.000000mm,Bottom,-90.0,19.1mm,12.000000mm
C18,21.1mm,12.000000mm,Bottom,-90.0,21.1mm,12.000000mm
C19,13.1mm,8.000000mm,Bottom,90.0,13.1mm,8.000000mm
C20,15.1mm,8.000000mm,Bottom,90.0,15.1mm,8.000000mm
C21,17.1mm,8.000000mm,Bottom,90.0,17.1mm,8.000000mm
C22,19.1mm,8.000000mm,Bottom,90.0,19.1mm,8.000000mm
C23,21.1mm,8.000000mm,Bottom,90.0,21.1mm,8.000000mm
C27,64.3mm,67.600000mm,Bottom,-90.0,64.3mm,67.600000mm
C28,56.3mm,85.100000mm,Bottom,0.0,56.3mm,85.100000mm
C29,58.0mm,79.582023mm,Bottom,0.0,58.0mm,79.582023mm
C30,59.690001mm,85.100000mm,Bottom,180.0,59.690001mm,85.100000mm
