Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","CR1220","CR1220-2",-94.500000,28.000000,90.000000,bottom
"C1","10u","C0805",-6.625000,21.460000,-90.000000,bottom
"C2","10u","C0805",-8.625000,21.460000,-90.000000,bottom
"C3","10u","C0805",-10.625000,21.460000,-90.000000,bottom
"C4","10u","C0805",-12.625000,21.460000,-90.000000,bottom
"C5","10u","C0805",-14.625000,21.460000,-90.000000,bottom
"C6","10u","C0805",-6.625000,17.460000,90.000000,bottom
"C7","10u","C0805",-8.625000,17.460000,90.000000,bottom
"C8","10u","C0805",-10.625000,17.460000,90.000000,bottom
"C9","10u","C0805",-12.625000,17.460000,90.000000,bottom
"C10","10u","C0805",-14.625000,17.460000,90.000000,bottom
"C14","10u","C0805",-13.100000,12.000000,-90.000000,bottom
"C15","10u","C0805",-15.100000,12.000000,-90.000000,bottom
"C16","10u","C0805",-17.100000,12.000000,-90.000000,bottom
"C17","10u","C0805",-19.100000,12.000000,-90.000000,bottom
"C18","10u","C0805",-21.100000,12.000000,-90.000000,bottom
"C19","10u","C0805",-13.100000,8.000000,90.000000,bottom
"C20","10u","C0805",-15.100000,8.000000,90.000000,bottom
"C21","10u","C0805",-17.100000,8.000000,90.000000,bottom
"C22","10u","C0805",-19.100000,8.000000,90.000000,bottom
"C23","10u","C0805",-21.100000,8.000000,90.000000,bottom
"C27","100n","C0603",-64.300000,67.600000,-90.000000,bottom
"C28","10n","C0603",-56.300000,85.100000,0.000000,bottom
"C29","100n","C0603",-58.000000,79.582023,0.000000,bottom
"C30","10n","C0603",-59.690001,85.100000,180.000000,bottom
"C31","100n","C0603",-62.100000,76.000000,90.000000,bottom
"C32","1u","C0603",-63.900000,76.000000,90.000000,bottom
"C33","100n","C0603",-99.500000,36.500000,-90.000000,bottom
"D1","1N4148WS","SOD-323",-90.500000,18.500000,0.000000,bottom
"D2","B5819W","SOD-123",-21.500000,73.000000,90.000000,bottom
"D4","B5819W","SOD-123",-21.500000,80.500000,90.000000,bottom
"D8","NUP2105L","SOT-23",-58.000000,82.082023,-90.000000,bottom
"F5","50mA","Fuse_0603_1608Metric",-32.550000,57.900000,-90.000000,bottom
"F6","50mA","Fuse_0603_1608Metric",-32.550000,64.900000,-90.000000,bottom
"F7","50mA","Fuse_0603_1608Metric",-32.650000,50.900000,-90.000000,bottom
"F8","50mA","Fuse_0603_1608Metric",-32.600000,43.950000,-90.000000,bottom
"F9","50mA","Fuse_0603_1608Metric",-32.600000,36.950000,-90.000000,bottom
"F10","50mA","Fuse_0603_1608Metric",-85.650000,34.950000,-90.000000,bottom
"L1","470R@100MHz","L_0603_1608Metric",-59.000000,87.500000,-90.000000,bottom
"L2","470R@100MHz","L_0603_1608Metric",-57.000000,87.500000,-90.000000,bottom
"R2","33k","R0603",-18.500000,23.500000,90.000000,bottom
"R3","6.8k","R0603",-18.500000,20.500000,90.000000,bottom
"R5","0","R0603",-59.400000,64.300000,-90.000000,bottom
"R6","0","R0603",-80.100000,73.300000,-90.000000,bottom
"R7","5.6k","R0603",-51.500000,6.878318,90.000000,bottom
"R8","5.6k","R0603",-54.000000,6.878318,90.000000,bottom
"R12","4.7k","R0603",-32.800000,79.200000,90.000000,bottom
"R13","4.7k","R0603",-32.800000,75.800000,90.000000,bottom
"R15","4.7k","R0603",-5.000000,92.350000,90.000000,bottom
"R16","4.7k","R0603",-7.550000,92.350000,90.000000,bottom
"R17","22","R0603",-31.012500,64.900000,90.000000,bottom
"R18","22","R0603",-31.012500,57.900000,90.000000,bottom
"R19","22","R0603",-31.012500,50.900000,90.000000,bottom
"R20","0","R_2512_6332Metric",-26.400000,64.900000,180.000000,bottom
"R21","0","R_2512_6332Metric",-26.400000,57.900000,180.000000,bottom
"R22","0","R_2512_6332Metric",-26.400000,50.900000,180.000000,bottom
"R23","22","R0603",-31.012500,43.900000,90.000000,bottom
"R24","22","R0603",-31.012500,36.900000,90.000000,bottom
"R25","22","R0603",-31.012500,29.900000,90.000000,bottom
"R26","0","R_2512_6332Metric",-26.400000,43.900000,180.000000,bottom
"R27","0","R_2512_6332Metric",-26.400000,36.900000,180.000000,bottom
"R28","0","R_2512_6332Metric",-26.400000,29.900000,180.000000,bottom
